feature,mean_importance
B,0.0035853738351323077
CHAS,0.0037922879731204394
ZN,0.012368270245749644
TAX,0.042997389034750436
CRIM,0.04407304519974883
INDUS,0.04440448192467135
PTRATIO,0.05883402561658855
AGE,0.062205235852128206
NOX,0.11746495957277141
RAD,0.1333271376822255
DIS,0.1427517023404509
RM,0.3591414231182844
LSTAT,0.8180033224711316
