feature,weight
intercept,-0.03043393741000103
CRIM,-0.03448184964562952
ZN,0.07313935723645909
INDUS,-0.00010511638149375557
CHAS,0.38422845980125575
NOX,-0.3076921123941023
RM,0.3401978011965414
AGE,0.03547928135090585
DIS,-0.31361095290187435
RAD,0.18185449219743455
TAX,-0.1277022497886338
PTRATIO,-0.2184507776214436
B,0.08760716962415634
LSTAT,-0.3490211496463465
