feature,mean_importance
INDUS,-1.3541075187240014e-05
AGE,0.003197648811289644
CRIM,0.0035698896144165325
CHAS,0.005708062532288905
TAX,0.01026108474114057
B,0.01195169536799493
ZN,0.016839878394071927
PTRATIO,0.07278279086035214
RAD,0.0783553792074539
RM,0.1260686646171189
NOX,0.18151736200607888
DIS,0.2531003980552474
LSTAT,0.29627435601849694
