feature,shap_importance
RM,0.38415175513050137
LSTAT,0.3615878741854525
NOX,0.07122522641545499
DIS,0.035943060759187725
AGE,0.019515355531961452
CRIM,0.012101109966414988
RAD,0.009632269964018616
B,0.006467654466413641
TAX,0.006421886451474613
PTRATIO,0.005269364252815652
INDUS,0.0037808356212773522
ZN,0.0
CHAS,0.0
