feature,mean_importance
ZN,3.3306690738754695e-17
CHAS,4.4408920985006264e-17
INDUS,0.0010137704308527922
PTRATIO,0.0015951531349438137
B,0.0016663120828706661
TAX,0.002767942063447712
RAD,0.007219698920663262
AGE,0.007812096946504263
CRIM,0.009883622907952505
NOX,0.04290273601908999
DIS,0.0647672889329933
RM,0.4934236131632673
LSTAT,0.7160559152018067
