feature,shap_importance
RM,4.338879385333866
LSTAT,3.2134347616383523
DIS,0.9488456283706032
NOX,0.8183364783865845
CRIM,0.23242259162266973
ZN,0.0
INDUS,0.0
CHAS,0.0
AGE,0.0
RAD,0.0
TAX,0.0
PTRATIO,0.0
B,0.0
