feature,mean_importance
CHAS,4.9774798296206566e-05
ZN,0.0006002126721093431
RAD,0.001975188319399415
INDUS,0.007949654553682012
B,0.009669452902888773
TAX,0.012400851057020084
AGE,0.015158674011253977
PTRATIO,0.02186482348358621
CRIM,0.07947414005947721
NOX,0.08035586504478848
DIS,0.1354122137804647
RM,0.385537129566867
LSTAT,0.6572595586525157
